index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,city_lower,solar_potential_score,outage_risk_score,facility_score,final_score,rank
2402,147 elder street inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,147,elder street,M3H5G9,toronto,on,,Toronto,3520005.0,35,43.7628942,-79.45410882,toronto,0.001069894008018945,0.3721333758205286,0.8,34.92,539
2403,2 spirited people of the 1st nations,community support service,Ambulatory health care services,Province of Ontario,,145,front street e,M5A1E3,toronto,on,,Toronto,3520005.0,35,43.64982129,-79.36935038,toronto,0.0026069682205796495,0.3274939153277635,0.5,25.69,847
2406,a better way retirement home corp.,retirement home,Nursing and residential care facilities,Province of Ontario,,22,purpledusk trail,M1E4C7,toronto,on,,Toronto,3520005.0,35,43.78366142,-79.20760054,toronto,0.0014918736857785324,0.3045806524835945,0.8,32.24,642
2407,a-way express courier service,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,2168,danforth avenue,M4C1K3,toronto,on,,Toronto,3520005.0,35,43.68664259,-79.31066676,toronto,0.00037023674153147676,0.3746742362283995,0.8,35.0,535
2410,abbeylawn manor retirement home,retirement home,Nursing and residential care facilities,Province of Ontario,,534,rodd avenue,L1W2B2,pickering,on,,Pickering,3518001.0,35,43.79773372,-79.11423721,pickering,0.0009745903724287822,0.05,0.8,22.03,896
2413,abi possibilities,community support service,Ambulatory health care services,Province of Ontario,,208,evans avenue,M8Z1J7,toronto,on,,Toronto,3520005.0,35,43.61822987,-79.51489762,toronto,0.002305461342228327,0.3541518634350601,0.5,26.75,823
2418,access alliance multicultural health and community services,community health centre,Hospitals,Province of Ontario,,340,college street,M5T3A9,toronto,on,,Toronto,3520005.0,35,43.65757158,-79.40343899,toronto,0.0010077302615016334,0.42831197638516144,1.0,42.17,304
2420,access independent living services,community support service,Ambulatory health care services,Province of Ontario,,50,ashwarren road,M3J1Z5,toronto,on,,Toronto,3520005.0,35,43.7584873,-79.48115742,toronto,0.025876183032825576,0.4202573937533746,0.5,30.22,718
2421,acclaim health,community support service,Ambulatory health care services,Province of Ontario,,2370,speers road,L6L5M2,oakville,on,,Oakville,3524001.0,35,43.40795623,-79.72589097,oakville,0.2,1.0,0.5,59.5,129
2422,"accommodation, information and support inc.",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,720,spadina avenue,M5S2T9,toronto,on,,Toronto,3520005.0,35,43.66539409,-79.40348049,toronto,0.0009172277538361495,0.4043020365766367,0.8,36.2,488
2423,across boundaries: an ethnocultural mental health centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1,york gate boulevard,M3N3A1,toronto,on,,Toronto,3520005.0,35,43.7589948,-79.51880674,toronto,0.002626152202388145,0.3515821054944788,0.8,34.16,569
2428,addiction services for york region,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,4261,highway 7,L3R9W6,markham,on,,Markham,3519036.0,35,43.85908432,-79.31460658,markham,0.2,0.05,0.8,29.0,758
2432,adeline's lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,379,lake promenade,M8W1C1,toronto,on,,Toronto,3520005.0,35,43.58781597,-79.53873663,toronto,0.0007355489088448468,0.398903779819773,0.8,35.98,498
2434,advent forestview retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,537,finch avenue w,M2R0A8,toronto,on,,Toronto,3520005.0,35,43.7703728,-79.44469031,toronto,0.0011697107678933817,0.46290864533312304,0.8,38.56,381
2446,alexis lodge retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,707,ellesmere road,M1P2W1,toronto,on,,Toronto,3520005.0,35,43.76371901,-79.28864066,toronto,0.0022240244027475404,0.47694631022501033,0.8,39.16,354
2464,alpha house,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,647,broadview avenue,M4K2N9,toronto,on,,Toronto,3520005.0,35,43.67333379,-79.35586548,toronto,0.00044750706270012096,0.35179848387976376,0.8,34.09,571
2466,altamont care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,92,island road,M1C2P5,toronto,on,,Toronto,3520005.0,35,43.79854962,-79.14005432,toronto,0.0011359252290038487,0.43654169786570457,0.8,37.5,425
